x_in,y_in,w_in,x_out,y_out,w_out
1407.9,-562.34,149.58,765.78,309.35,-598.72
1085.5,-436.49,149.76,520.54,250.98,-641.18
997,-392.72,141.68,514.86,260,-587.92
1059.2,-457.04,144.41,551.76,255.81,-588.71
918.99,-424.26,122.81,503.66,227.69,-636.33
1041,-409.84,134.3,549.16,225,-576.2
1719.5,-579.66,604.04,751.26,359.87,-310.95
1546.7,-568.69,606.09,787.95,216.81,-407.13
1506.4,-561.86,594.43,641.55,335.15,-414.35
1499.8,-554.43,597.39,621.84,315.1,-522.73
1490.4,-543.26,580.08,720.59,319.01,-324.2
1457.3,-526.65,570.67,655.81,319.25,-407.47
1052.7,-404.86,935.28,648.85,219.96,416.24
1077.5,-414.41,952.67,666.99,205.24,458.24
1084.3,-381.45,900.94,614.6,225.35,405.12
1067.2,-384.49,946.94,522.44,267.25,322.12
1081.2,-410.29,947.05,478.13,265.98,315.66
1108.7,-405.45,935.67,374.87,276.38,206.25
824.87,-380.04,418.81,409.57,201.5,-183.67
814.76,-375.83,418.8,496.99,181.36,-57.692
807.3,-370.05,412.12,353.59,207.85,-258.46
800.57,-365.86,419.62,387.8,197.75,-245.84
798.64,-373.31,416.22,448.9,184.89,-142.73
792.6,-369.08,421.48,427.12,201.71,-165.87
846.14,-378.51,-375.07,580.63,225.35,-583.08
879.02,-380.31,-369.82,581.18,223.77,-571.01
855.25,-372.51,-371.32,557.23,238.83,-555.54
859.97,-382.11,-377.62,556.85,231.62,-561.16
865.57,-380.76,-378.88,594.35,231.09,-569.84
858.77,-394.13,-370.18,599.48,198.45,-567.24
691.65,-338.98,-100.13,365.33,230.9,-416.96
643.24,-320.91,-107.25,384.83,186.25,-442.51
628.77,-316.81,-107.97,388.47,183.01,-472.8
624.37,-307.87,-103.98,373.42,176.4,-451.63
625.69,-310.61,-101.71,393.13,163.01,-472.58
614.47,-300.95,-99.304,370.82,177.73,-460.03
1299.1,-818.91,146.97,504,354.16,-534.61
1095.2,-742.88,157.78,391.96,322.93,-523.52
1088.9,-735.06,147.32,355.7,330.57,-501.21
1067.7,-728.37,147.04,369.71,324.27,-503.13
1044.7,-693.34,152.77,365.71,305.82,-500.22
1026.9,-691.91,147.57,266.09,326.52,-418.85
1539,-888.99,581.6,350.34,389.85,-451.59
1481.2,-899.2,573,500.16,308.75,-472.4
1458.2,-879.07,612.48,309.23,351.72,-393.45
1424.3,-859.5,580.61,360.62,369.37,-462.78
1429.1,-857.01,587.55,323.29,367.21,-434.48
1375.9,-833.5,588.37,318.99,333.65,-434.2
955.24,-595.23,944.48,348.8,246.52,241.78
995.67,-597.94,976.72,422.73,231.54,305.45
1006.7,-605.06,957.25,302.42,259,146.2
987.86,-602.53,958.57,365.3,246.43,244.42
978.29,-601.52,6.5188,514.54,194.65,344.44
980.85,-609,945.13,466.94,185.8,249.83
761.63,-497.55,412.26,271.51,213.91,-345.6
793.41,-489.79,422.13,266.07,223.81,-282.72
795.67,-491.87,412.98,220.97,226.52,-299.81
795.69,-487.36,405.31,260.53,214.51,-306.15
798.67,-497.98,399.62,292.3,202.92,-304.82
820.69,-507.13,406.67,229.81,224.24,-300.7
764.64,-505.86,-397.21,480.73,234.26,-490.87
772.86,-493.96,-388.14,446.86,259.67,-472.86
789.21,-512.13,-389.78,441.45,270.58,-463.73
772.43,-493.6,-388.99,400.97,293.43,-447.04
792.48,-514.85,-389,506.28,245.31,-486.87
773.72,-514.16,-389.47,467.97,270.22,-481.18
641.3,-423.72,-98.433,350.37,215.14,-404.71
648.34,-429.37,-98.809,358.74,221.18,-390.39
648.34,-440.1,-99.927,363.62,226.52,-401.18
643.88,-423.9,-98.554,401.43,194.48,-441.46
646.67,-428.53,-99.898,371.18,224.64,-414.64
634.07,-428.31,-102,363.03,211.85,-411.83
1125,-973.16,148.07,334.96,329.08,-423.71
1158.7,-1002.6,157.18,356.65,360.89,-431.27
1155.8,-1023.5,154.91,279.87,322.35,-348.34
1120.9,-997.34,137.49,230.82,329.25,-343.59
1144,-1013.5,148.89,357.29,326.98,-443.86
1158.6,-1004.1,158.86,286.53,344.97,-392.99
1275.9,-1089.8,533.14,151.69,329.73,-298.92
1327.6,-1068.8,541.42,244.3,331.23,-363.01
1334.3,-1111.8,556.16,118.04,293.07,-251.98
1314.3,-1098.6,549.2,112.48,287.01,-245.04
1340.2,-1134.9,554.63,214.76,318.96,-334.41
1302.8,-1081.2,557.91,211.77,314.81,-312.85
845.52,-772.73,917.17,180.81,242.4,64.096
854.71,-778.04,972.7,211.75,213.18,23.205
850.99,-773.98,936.4,168.98,222.93,19.126
846.62,-774.88,923.91,175.79,221.31,105.42
844.83,-771.54,949.22,85.277,196.83,-106.79
852.46,-773.81,1004.8,147.43,217.09,-62.781
663.18,-607.39,409.59,228.18,210.01,-265.2
693.02,-617.19,413.25,146.02,220.66,-236.36
687.07,-601.13,418.31,200.83,214.62,-272.23
706.93,-613.35,413.15,199.89,208.7,-277.05
711.32,-618.56,404.42,252.79,209.7,-256.17
699.85,-593.3,413.55,179.72,219.12,-260.27
667.95,-646.42,-397.26,367.52,285.87,-419.81
674.81,-649.99,-397.86,412.38,256.37,-449.11
685.88,-642.86,-376.74,392.44,259.03,-403.45
682.39,-648.5,-391.86,338.92,275.15,-393.66
681.24,-638.18,-388.98,382.85,272.14,-434.76
677.76,-650.58,-406.62,344.37,280.57,-392.73
564.39,-542.8,-108.04,284.79,231.4,-336.38
514.49,-500.4,-111.77,268.71,215.29,-343.8
522.15,-508.28,-109.57,228.1,224.64,-303.29
508.9,-489.57,-106.43,264.06,206.45,-333.91
510.57,-488,-114.89,221.61,218.65,-303.29
498.21,-470.93,-112.44,252.56,188.58,-340.74
895.28,-1126.6,156.22,232.36,279.97,-340.66
840.11,-879.8,149.87,209.85,329.91,-305.01
964.35,-1184.9,159.63,185.86,276.92,-265.96
1005.5,-1226.9,114.64,244.43,331.37,-332.7
1001.7,-1199.1,152.06,246.19,301.48,-330.5
982.95,-1191.3,137.52,251.61,313.26,-328.06
959.22,-1217.2,153.64,157.56,273.14,-249.46
962.92,-1205.1,123.41,233.53,322.94,-323.16
981.52,-1200.1,141.28,244.39,331.54,-333.98
974.54,-1198,99.384,243.14,320.02,-324.06
1003.7,-1209.1,164.73,243.6,330.35,-326.94
976.01,-1224.6,138.98,308.28,300.42,-328.95
1056.9,-1296,563.85,71.22,258.12,-203.25
1077.9,-1339.6,532.98,79.435,246.5,-190.96
1081.1,-1321.7,567.47,75.257,259.67,-200.11
1087.9,-1387.2,582.2,83.205,225.75,-183.13
1080.9,-1315.1,558.53,111.19,273.27,-230.62
1072.8,-1347.5,586.2,111.51,265.48,-208.24
995.09,-1244.5,553.16,35.048,211.59,-151
1051.8,-1328.8,581.51,53.803,220.01,-164.53
1087.8,-1342.3,560.63,134.18,277.29,-252.35
1054,-1334.1,577.52,22.941,193.98,-137.07
1086.9,-1329.6,575.44,152.49,279.6,-258.04
1081.1,-1358.3,563.43,92.207,276.23,-233.74
683.85,-894.97,945.75,26.432,150.14,-106.16
652.66,-878.29,983.76,15.477,164.63,-72.061
675.3,-887.65,947.26,46.087,160.57,-89.948
671.19,-883.83,972.12,2.9131,152.52,-101.74
680.14,-891.6,957.63,21.522,142.3,-94.569
664.06,-867.09,953.85,69.543,190.93,43.666
695.1,-897.33,950.17,42.711,161.41,-131.26
673.97,-883.7,967.67,36.579,170.55,-20.036
665.1,-879.55,968.79,30.769,154.99,-117.12
642.89,-855.54,960.03,36.472,166.28,-83.307
665.71,-881.96,971.03,27.961,152.52,-124.18
646.89,-851.64,979.29,93.338,187.32,29.025
541.54,-718.17,413.95,90.147,192.03,-171.37
513.72,-714.77,410.88,54.827,179.98,-129.83
563.64,-726.09,403.4,94.202,192.22,-168.78
509.9,-714.24,410.22,92.871,184.75,-156.78
553.86,-708.33,403.08,110.09,189.93,-178.32
514.08,-727.28,400.91,89.446,192.66,-164.3
545.2,-722.31,415.74,134.75,202.6,-201.8
516.86,-724.32,396.87,98.592,189.27,-167.48
564.9,-716.86,404.11,98.571,194.98,-174.44
505.27,-720.75,395.47,99.273,185.7,-170.3
562.05,-712.41,418.66,118.56,182.86,-189.87
495.98,-712.45,411.86,94.741,180.04,-166.78
554.78,-725.71,-387.5,277.72,249.8,-333.56
579.43,-742.88,-397.63,278.59,277.76,-341.48
565.38,-731.46,-391.69,225.7,266.14,-310.84
577.79,-739.06,-395.42,318.74,273.05,-361
577.46,-730.84,-390.37,327.24,274.82,-378.08
577.57,-718.68,-386.2,340.04,265.17,-375.58
563.89,-730.65,-397.01,263.18,258.72,-329.76
573.24,-739.74,-394.56,293.84,279.41,-356.74
567.07,-734.72,-389.94,304.13,248.91,-352.79
567.95,-731.24,-393.66,331.49,254.87,-366.39
564.89,-736.9,-387.72,311.52,241.19,-343.21
583.4,-739.91,-406.58,375.32,230.98,-397.14
470.5,-623.37,-111.58,199.22,205.99,-243.55
443.14,-618.13,-119.91,181.9,213.11,-248.53
470.68,-633.7,-117.41,204.35,212.5,-255.83
444.12,-614.41,-106.27,217.42,214.75,-282.77
469.15,-623.46,-117.77,239.75,222.53,-291.66
445.08,-609.81,-112.13,209.46,209.04,-261.81
474.67,-634,-110.31,183.98,229.13,-245.43
442.37,-604.07,-113.78,187.55,218.63,-259.27
456.98,-617.03,-116.91,259.63,198.5,-292.78
423.61,-600.14,-116.66,255.41,179.14,-277.79
460.81,-621.35,-110.66,281.18,196.43,-300.23
435.45,-601.87,-108.21,210.86,214.8,-274.25
761.57,-1308.7,158.14,166.37,251.55,-234.1
682.89,-1209.8,163.05,120.34,211.88,-211.3
716.09,-1258.3,165.89,162.09,237.27,-257.47
700.54,-1225.5,139.17,125.52,215.13,-222.6
689.15,-1224.7,147.58,113.43,217.51,-221.93
706.41,-1233.7,143.65,168.81,233.2,-256.45
844.67,-1487.1,572.32,53.153,217.04,-168.91
851.22,-1512.5,576.66,25.217,192.91,-134.77
857.08,-1496.3,578.74,34.227,210.73,-147.35
838.35,-1501.6,577.3,78.31,238.09,-193.7
829.15,-1470.3,587.69,79.309,218.18,-184.52
809.64,-1451,593.41,37.807,183.87,-136.43
532.34,-999.94,957.39,-3.1769,138.89,-65.901
533.09,-997.46,968.01,-12.043,137.18,-75.402
537.24,-993.21,969.4,-9.4101,148.59,-58.805
539.15,-999.36,970.87,4.3541,149.74,-79.643
555.42,-1006.9,982.96,-6.1366,140.84,-67.807
542.47,-989.33,970.77,-47.687,129.91,-19.906
417.49,-787.41,416.01,37.095,146.18,-93.209
417.3,-783.77,400.08,68.966,148.72,-122.92
411.11,-781.4,415.87,42.52,147.61,-98.423
416.36,-787.6,420.57,47.556,147.75,-105.52
409.98,-777.99,421.04,32.333,142.49,-90.96
419.46,-799.53,413.76,82.572,161.05,-133.85
439.51,-812.78,-395.94,206.82,243.38,-253.57
438.11,-818.87,-389.42,197.34,235.34,-254.47
442.18,-812.54,-384.63,206.48,235.72,-260.03
436.2,-812.68,-392.91,153.08,224.33,-212.76
445.29,-820.63,-398.28,239.94,240.75,-286.54
437.11,-820.01,-402.62,203.74,224.48,-230.03
370.6,-688.7,-110.51,134.91,191.42,-192.34
374.45,-694.88,-113.25,175.6,205.02,-224.56
370.68,-687.56,-113.5,180.76,194.96,-216.6
362.1,-692.89,-115.28,167.08,195.12,-204.97
362.05,-691.42,-115.78,121.89,185.59,-162.13
371.29,-700.79,-113.07,182.42,188.32,-208.93
422.01,-273.2,-160.83,282.65,141.47,-284.32
319.44,-217.41,-154.98,241.31,106.01,-295.47
408.03,-265.45,-155.86,273.04,141.93,-289.31
407.6,-261.61,-153.95,259.55,150.27,-284.45
415.5,-268.54,-154.9,279.47,142.67,-286.86
673.96,-198.16,-157.34,238.23,134.85,-278.55
428.27,-266.42,165.75,191.4,132.59,-223.56
460.61,-282.84,167.15,196.39,144.47,-229.51
431.05,-264.83,166.66,188.82,135.42,-221.05
423.98,-265.03,170.72,186.23,139.31,-208.34
432.52,-266.49,168.5,204.83,133.56,-222.94
430,-269.02,162.78,192.99,131.36,-229.9
206.87,-227.98,794.6,53.014,95.987,492.34
211.86,-230.69,797.7,38.541,91.097,431.99
207.15,-226.67,793,60.865,90.46,486.83
208.08,-225.61,784.6,81.66,94.566,537.63
211.53,-227.05,798.58,-1.2393,90.714,388.41
208.45,-230.9,802.43,56.594,93.204,489.24
1324,-491.69,219.78,596.31,333.31,-598.02
1313.3,-481.45,197.17,487.81,364.89,-535.6
1305.5,-487.63,217.81,665.8,271.76,-610.76
1281.7,-486.97,215.19,564.95,318.06,-594.42
1336.3,-502.85,208.7,648.28,311.89,-630.49
1285.5,-495.5,215.15,637.08,311.27,-611.05
384.33,-318.46,-166.63,266.94,138.93,-272.17
330.68,-281.17,-157.15,208.17,138.86,-252.41
323.97,-274.13,-159.6,216.59,124.56,-265.36
384.17,-318.16,-157.71,256.85,156.54,-272.75
374.78,-319.91,-151.61,235.73,160.08,-255.06
366.97,-315.84,-157.88,246.87,149.59,-261.83
391.3,-315.65,169.25,152.65,140.7,-193.42
391.78,-313.46,165.17,172.2,138.17,-204.25
387.41,-315.23,166.94,161.71,142.66,-204.11
308.47,-257.42,167.45,127.43,105.4,-202.23
339.06,-285.17,165.37,147.77,121.27,-204.05
346.69,-293.74,160.46,153.68,114.43,-214.09
190.42,-243.1,789,43.482,87.704,498.84
188.72,-244.75,792.35,22.503,92.295,441.16
189.73,-242.79,795.33,52.211,92.374,479.15
188.64,-245.38,793.27,32.213,88.581,465.15
191.05,-243.42,787.59,27.539,92.705,438.79
190.89,-241.69,794.26,24.59,94.835,436.87
1188.5,-666.57,226.61,448.39,328.34,-508.72
1199.2,-690.1,237.26,516.28,318.03,-522.15
1214.4,-686.96,224.68,412.25,354.18,-467.39
1181.9,-658.1,234.08,454.21,307.3,-484.13
1271.3,-693.03,241.25,504.7,345.57,-543.87
1264.5,-709.94,259.35,340.47,362.71,-425.55
331.4,-368.21,-160.97,221.64,147.07,-235.73
308.49,-349.32,-156.81,187.9,142.46,-220.31
307.32,-355.96,-159.32,189.19,147.78,-217.84
315.79,-359.98,-156.55,209.21,147.37,-231.73
315.68,-363.31,-155.05,211.28,145.82,-227.54
326.51,-366.43,-155.29,219.74,144.64,-235.42
339.33,-360.52,162.91,140.56,143.46,-176.02
311.38,-333.3,165.42,117.61,129.04,-165.26
316.7,-340.35,165.9,113.59,135.1,-164.31
314.06,-333.55,167.63,117.15,131.36,-168.49
325.14,-351.08,165.77,134.2,133.91,-185.64
327.48,-353.64,170.2,129.04,133.89,-175.7
173.95,-261.68,799.11,24.52,95.376,465.84
173.42,-263.76,797,-0.80585,89.509,418.74
169.25,-260.4,799.29,30.439,90.653,485.09
166.48,-260.33,792.63,9.6746,91.01,445.43
166.57,-259.72,794.66,14.005,90.542,455.15
168.94,-264.93,789.07,-32.365,91.822,364.46
1075.9,-934.01,231.16,351.62,334.54,-436.12
1091.2,-930.93,238.37,316.13,327.21,-386.73
1060,-899.08,230.85,333.88,327.14,-374.9
1055.1,-861.43,225.92,267.02,328.48,-367.18
1100.9,-934.5,244.6,340.56,344.13,-422.71
1144.9,-971.46,235.33,290.24,339.91,-358.53
275.11,-403.37,-163.27,183.46,140.53,-199.69
281.25,-413.62,-150.74,187.31,147.31,-206.49
238.56,-360.93,-164.02,137.49,130.14,-172.54
276.92,-409.54,-152.89,190.84,145.91,-197.97
246.45,-374.28,-163.28,147.91,134.22,-179.73
248.89,-379.93,-144.98,142.17,136.68,-160.22
274.34,-398.11,-162.28,173.14,139.9,-190.23
260.93,-391.63,-147.59,150.92,134.4,-166.53
254.68,-386.15,-158.1,170.03,130.44,-204.85
281.85,-408.37,-157.97,164.68,154.78,-171.42
274.33,-403.38,-160.38,169.09,148.62,-190.69
259.25,-395.82,-150.12,148.68,144.13,-160.55
292.99,-406.83,167.57,103.33,132.25,-138.07
295.93,-421.11,164.36,100.03,134.59,-129.54
284.3,-412.94,169.65,95.582,135.73,-134.52
287.2,-415.88,162.57,105.24,122.04,-129.27
288.64,-409.37,169.71,119.37,128.39,-149.58
294.66,-420.2,163.97,78.817,135.83,-114.54
299.67,-403.48,170.37,68.99,138,-109.69
293.3,-413.47,165.59,101.94,135.77,-130.8
284,-410.85,162.45,91.117,139.63,-133.38
296.08,-412.75,163.6,109.33,140.29,-144.37
289.62,-415.89,168.84,111.03,142.03,-146.66
293.34,-411.31,159.61,126.56,135.47,-154.93
146.45,-278.79,795.98,-8.6557,88.559,443.79
145.83,-278.25,793.85,-12.83,93.276,388.93
147.29,-282.32,799.31,-12.948,90.391,399.94
148.24,-280.78,792.11,-22.914,93.288,407.98
147.68,-284.01,794.19,-14.353,92.436,420.32
145.95,-282.01,794.1,-33.874,91.716,389.89
144.75,-275.11,791.91,18.349,93.445,457.6
142.07,-281.86,782.55,-22.194,90.52,375.07
143.15,-283.37,794.3,-6.8614,96.496,434.83
144.51,-279.05,794.72,-64.17,92.304,364.37
147.91,-281.14,789.11,8.1735,94.832,421.14
141.52,-282.83,785.98,-31.277,84.976,378.65
925.64,-1102.3,225.52,181.8,296.46,-307.43
939.01,-1103.7,202.72,236.03,305.96,-307.04
925.9,-1083.1,226.09,147.81,278.63,-262.67
910.75,-1102.2,223.96,154.66,272.04,-244.03
943.26,-1081.4,231.48,235.46,314.64,-338.72
907.85,-1083.1,214.62,239.74,314.37,-339.47
905.19,-1066.2,234.34,211.65,303.35,-318.8
908.8,-1055.7,187.94,297.68,315.13,-369.24
944.24,-1070.8,234.44,257.75,314.41,-346.07
910.32,-1072.1,189.78,228.68,310.32,-317.1
934.29,-1071.6,226.44,269.02,311.01,-348.38
926.85,-1088.4,190.29,246.26,305.43,-319.48
218.04,-442.74,-158.06,146.23,143.14,-152.93
185.62,-373.82,-150.25,103.71,119.77,-133.91
187.28,-380.12,-161.31,103.46,123.6,-137.06
185.77,-383.62,-164.92,92.37,124.81,-131.74
191.96,-388.99,-162.17,101.81,123.91,-136.14
179.19,-365.63,-158.74,112.43,125.62,-152
229.81,-455.91,165.5,40.075,131.53,-78.89
213.22,-421.07,160.62,43.234,115.12,-85.164
